reporter,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CZE,114.72953796386719,117.04493713378906,115.03162384033203,110.2972640991211,109.98448181152344,107.2740707397461,104.86636352539062,99.43797302246094,100.31547546386719,97.36978912353516,96.64308166503906,94.63031005859375,92.07636260986328,93.44152069091797,90.0696792602539,86.04454040527344,75.56399536132812,73.89590454101562,67.61494445800781,57.588375091552734
DEU,77.4999771118164,78.2341079711914,76.83805847167969,74.90140533447266,74.12272644042969,74.28162384033203,72.36553192138672,71.27981567382812,71.68547821044922,69.9489517211914,69.23817443847656,67.84188079833984,68.37309265136719,68.91067504882812,74.50846862792969,75.3900375366211,70.6214828491211,71.42388916015625,72.4136962890625,69.15767669677734
DMA,236.34024047851562,231.96115112304688,230.01351928710938,,231.0423583984375,228.75352478027344,237.60821533203125,237.03456115722656,242.7166290283203,243.60716247558594,244.3013458251953,245.12599182128906,256.1361999511719,261.637451171875,276.5747985839844,295.8777770996094,,294.5179443359375,,
DNK,100.666748046875,102.3882064819336,97.24459075927734,97.295166015625,95.87627410888672,96.64913177490234,94.73585510253906,92.20643615722656,92.66598510742188,91.27427673339844,91.55899047851562,89.19180297851562,90.45806884765625,90.84901428222656,98.36417388916016,99.17756652832031,92.1707534790039,95.00047302246094,95.3910140991211,90.2814712524414
DOM,,185.1397247314453,179.30517578125,,,,191.44192504882812,145.080322265625,142.4285430908203,143.75454711914062,151.86390686035156,161.7171173095703,162.9340057373047,168.6163330078125,172.6574249267578,173.48231506347656,165.99874877929688,161.8675537109375,162.3450164794922,207.38613891601562
DZA,177.97621154785156,174.77816772460938,170.9114227294922,179.28529357910156,174.1793212890625,137.23989868164062,139.39569091796875,139.6981201171875,141.87594604492188,141.4613800048828,138.47909545898438,136.88999938964844,131.51434326171875,126.04092407226562,138.67282104492188,133.54281616210938,126.45301818847656,131.03622436523438,128.98545837402344,113.4216537475586
ECU,161.14974975585938,161.81056213378906,156.87722778320312,156.27716064453125,164.39573669433594,164.73638916015625,157.94956970214844,164.541748046875,167.38714599609375,167.36085510253906,164.7043914794922,159.4841766357422,163.44403076171875,159.2613983154297,161.01605224609375,158.461181640625,151.52748107910156,147.52005004882812,148.7366485595703,164.60443115234375
EGY,171.1729736328125,178.77755737304688,175.99603271484375,175.75936889648438,178.49398803710938,171.53726196289062,172.79153442382812,172.3198699951172,163.00408935546875,157.93272399902344,156.8201904296875,155.6171417236328,151.92176818847656,141.557373046875,143.69967651367188,146.10667419433594,141.7463836669922,143.24720764160156,150.2374725341797,147.28372192382812
ERI,,,,,,,,,332.4417419433594,,,,,,,,,,,
ESP,103.11209869384766,102.98551177978516,100.58450317382812,98.49675750732422,96.54603576660156,97.22174835205078,96.6788101196289,96.26041412353516,94.94209289550781,93.84420013427734,94.10114288330078,93.30581665039062,91.91830444335938,95.3313217163086,98.54129791259766,97.27112579345703,91.16517639160156,91.7026138305664,89.8614273071289,83.66043853759766
EST,142.27439880371094,134.28123474121094,123.40929412841797,125.7353286743164,125.48692321777344,114.3244400024414,119.50787353515625,114.76256561279297,110.49669647216797,114.99723052978516,110.02822875976562,99.4500732421875,104.45225524902344,99.54236602783203,71.68525695800781,59.993316650390625,,,,
ETH,224.048828125,,228.22491455078125,224.91099548339844,231.2396240234375,238.21437072753906,241.47886657714844,235.98565673828125,227.18191528320312,224.60276794433594,213.10165405273438,219.40481567382812,217.59767150878906,221.92535400390625,220.94480895996094,215.7948760986328,209.07606506347656,208.3151092529297,202.29461669921875,207.7045135498047
FIN,114.60607147216797,112.80316162109375,110.87915802001953,111.52555847167969,112.27706909179688,110.79168701171875,110.22537994384766,109.08324432373047,108.45455169677734,107.03213500976562,106.55542755126953,104.96255493164062,105.83279418945312,107.0494384765625,118.07695770263672,115.63188934326172,110.7796401977539,109.60896301269531,110.61768341064453,107.59955596923828
FJI,,,,,,189.72486877441406,,200.05624389648438,199.56199645996094,203.27145385742188,207.87081909179688,213.35711669921875,220.16419982910156,217.67230224609375,217.6990966796875,211.2149200439453,209.86065673828125,221.4935760498047,222.23353576660156,224.132568359375
FRA,87.28296661376953,88.0604019165039,87.05812072753906,84.90480041503906,82.45003509521484,82.26453399658203,82.1968994140625,81.73300170898438,81.79875946044922,80.69886016845703,81.02580261230469,79.60969543457031,80.12971496582031,81.38423919677734,82.37344360351562,80.99176025390625,76.22379302978516,76.97303009033203,78.5854721069336,73.63970184326172
FRO,,,,,184.16629028320312,187.95831298828125,180.92495727539062,186.5951385498047,183.71470642089844,183.04412841796875,185.38323974609375,191.151123046875,184.02284240722656,183.84799194335938,192.40699768066406,,,,,
FSM,,222.2309112548828,235.54347229003906,231.68785095214844,232.7699432373047,226.84361267089844,198.46690368652344,224.28341674804688,221.34292602539062,232.40220642089844,272.8255310058594,288.3774108886719,285.0880432128906,286.1579895019531,250.69822692871094,265.0890808105469,267.8110046386719,248.84014892578125,274.69537353515625,274.45941162109375
GAB,,188.9700469970703,186.85507202148438,187.46255493164062,192.11363220214844,194.60403442382812,181.43763732910156,183.32632446289062,202.24053955078125,182.75137329101562,178.13682556152344,177.23635864257812,174.6690216064453,174.6708221435547,184.94456481933594,,,,,
GBR,85.28593444824219,85.25666809082031,84.05471801757812,83.27503967285156,82.55165100097656,81.37312316894531,80.34317779541016,80.43031311035156,81.00088500976562,80.85401916503906,80.2402114868164,79.99675750732422,82.7990951538086,83.80855560302734,87.45845031738281,85.99097442626953,80.98167419433594,82.46668243408203,81.17170715332031,81.15985107421875
GEO,,236.11746215820312,221.41778564453125,237.94305419921875,233.12632751464844,225.8270263671875,229.53814697265625,215.16360473632812,213.85858154296875,203.10580444335938,192.1332550048828,188.3708038330078,184.66702270507812,182.103515625,189.02503967285156,184.73953247070312,177.21243286132812,176.38340759277344,172.45150756835938,166.52572631835938
GHA,,152.57456970214844,166.06256103515625,172.96127319335938,172.453857421875,156.00262451171875,159.16778564453125,,160.36875915527344,,159.87017822265625,157.5226287841797,178.91334533691406,177.5751190185547,176.53440856933594,183.787109375,143.37777709960938,147.35476684570312,155.69166564941406,
GIN,236.1980438232422,255.79595947265625,247.93267822265625,241.80801391601562,238.06890869140625,226.74853515625,222.5594024658203,214.74948120117188,,268.6639404296875,227.38795471191406,247.95208740234375,229.5093536376953,207.75408935546875,,,,,199.66119384765625,192.38059997558594
GMB,309.60906982421875,294.8944396972656,335.74249267578125,290.7822570800781,304.4410095214844,298.97747802734375,319.0870666503906,284.9653625488281,338.4693298339844,314.1729431152344,325.75738525390625,309.89495849609375,295.050537109375,313.88580322265625,286.995849609375,282.8053283691406,292.7088623046875,267.22930908203125,288.99462890625,285.090087890625
GNB,,,,,,,,,303.85223388671875,349.2154235839844,465.2806396484375,,,,,,,,,
GNQ,224.6033172607422,222.27906799316406,211.7119140625,191.40231323242188,174.73446655273438,168.52549743652344,204.55458068847656,214.77191162109375,194.15321350097656,211.5596466064453,206.53309631347656,195.34652709960938,211.95016479492188,231.3123016357422,238.76083374023438,221.89266967773438,223.19187927246094,,,
GRC,134.81982421875,134.75570678710938,133.73825073242188,132.0754852294922,130.4013671875,133.58299255371094,134.4178009033203,135.43885803222656,130.65426635742188,129.61068725585938,130.9827880859375,127.78166198730469,127.93302917480469,126.03317260742188,131.35777282714844,132.68682861328125,126.68889617919922,126.44866943359375,128.60894775390625,120.41934967041016
GRD,251.1302490234375,255.9703369140625,245.8223114013672,225.03619384765625,235.8105926513672,205.73001098632812,224.91688537597656,247.40896606445312,258.39447021484375,256.9255676269531,250.5605010986328,268.6815490722656,246.13406372070312,258.0980224609375,,,,,,
GRL,,,,,,,,,167.45664978027344,174.5511932373047,175.4498291015625,177.39407348632812,184.12091064453125,180.9823455810547,180.6171875,177.56634521484375,164.9003448486328,165.69677734375,,
GTM,172.56979370117188,175.63320922851562,172.0113983154297,166.5751495361328,167.9083251953125,169.82359313964844,166.7095184326172,171.55783081054688,168.90606689453125,167.63226318359375,153.74746704101562,168.31871032714844,150.09283447265625,155.06704711914062,153.91697692871094,154.1715087890625,147.95559692382812,148.0605926513672,150.51119995117188,179.85879516601562
GUY,,,170.7076416015625,166.04391479492188,171.33963012695312,152.53805541992188,166.5236358642578,170.87203979492188,174.47222900390625,174.97140502929688,160.1561279296875,185.07693481445312,181.464111328125,194.3635711669922,188.741455078125,189.0983428955078,182.6380615234375,168.9458465576172,173.56858825683594,222.90570068359375
HKG,72.38309478759766,75.14779663085938,70.43785095214844,70.89956665039062,72.34528350830078,66.26011657714844,67.4634017944336,64.95492553710938,45.52985382080078,38.88730239868164,51.28020095825195,,60.709632873535156,71.36763763427734,72.08174896240234,83.7551498413086,76.66431427001953,58.88380432128906,56.62508773803711,
HND,173.60516357421875,154.94296264648438,152.9348907470703,147.5999298095703,156.34255981445312,174.67312622070312,171.3575439453125,176.45933532714844,177.9622344970703,176.37753295898438,177.7171173095703,170.636474609375,166.6711883544922,,169.51072692871094,168.38784790039062,163.48387145996094,156.09185791015625,,182.5307159423828
HRV,142.73098754882812,146.81747436523438,147.8705291748047,147.71554565429688,149.4342498779297,145.7550048828125,143.71014404296875,142.44041442871094,136.7628173828125,135.266845703125,136.2877197265625,133.8717041015625,133.32568359375,133.66635131835938,142.02415466308594,143.00857543945312,135.79006958007812,137.6780242919922,135.45355224609375,124.61772155761719
HUN,127.84283447265625,126.78736114501953,116.28888702392578,110.98394775390625,108.49261474609375,105.18595886230469,103.93653869628906,102.07746887207031,100.27041625976562,96.25023651123047,96.23504638671875,92.49561309814453,90.49732971191406,90.1868667602539,77.21617889404297,,,,,
IDN,131.267578125,134.3786163330078,134.77490234375,130.92453002929688,136.5539093017578,130.61598205566406,132.3337860107422,135.25033569335938,135.8401641845703,132.68829345703125,131.72593688964844,134.94393920898438,133.80471801757812,134.33651733398438,138.17198181152344,132.85140991210938,125.47918701171875,124.91737365722656,124.11433410644531,134.00363159179688
IND,150.3768768310547,151.2356414794922,151.6531524658203,152.17271423339844,151.94166564941406,150.8323516845703,150.8341827392578,147.25392150878906,144.2041778564453,141.93128967285156,135.30982971191406,133.1632843017578,128.68333435058594,125.37142944335938,131.00975036621094,129.43751525878906,122.61051177978516,118.66853332519531,113.56806945800781,119.73020935058594
IRL,85.94834899902344,84.76679992675781,82.99099731445312,77.12747192382812,75.75955963134766,73.93458557128906,77.17510223388672,86.08783721923828,91.64030456542969,89.05545806884766,87.76386260986328,90.71100616455078,92.06829833984375,94.94998168945312,101.1285400390625,99.28826904296875,99.95685577392578,96.49980926513672,96.47246551513672,94.43016052246094
IRN,,,178.91796875,186.18685913085938,186.94798278808594,178.7064971923828,175.82766723632812,172.02398681640625,166.09744262695312,164.3800811767578,159.40005493164062,158.94097900390625,,,,153.4193115234375,152.93247985839844,,,
IRQ,,,247.340087890625,241.13455200195312,261.02484130859375,245.2196044921875,230.81324768066406,216.45460510253906,,186.6552734375,192.05657958984375,192.63311767578125,203.32028198242188,177.12640380859375,187.14752197265625,194.708251953125,196.02279663085938,205.42709350585938,233.93585205078125,
ISL,159.1967315673828,158.8374481201172,156.33297729492188,153.89598083496094,152.97857666015625,154.44711303710938,151.5376739501953,153.91905212402344,153.90464782714844,150.4414825439453,148.03079223632812,145.32749938964844,136.91090393066406,145.2998809814453,159.7890625,161.6826629638672,154.34877014160156,148.95082092285156,153.4363555908203,
ISR,121.97499084472656,122.73381042480469,121.40984344482422,117.89165496826172,114.64381408691406,117.18936920166016,117.00066375732422,118.16351318359375,120.16179656982422,116.9516830444336,117.00086975097656,115.49470520019531,118.27733612060547,113.69529724121094,118.89417266845703,118.50248718261719,110.56588745117188,,,
ITA,92.1013412475586,93.35687255859375,93.0508804321289,92.17975616455078,92.02812957763672,91.3890609741211,90.37030029296875,90.42803955078125,90.46033477783203,89.21913146972656,89.57154846191406,88.20188903808594,87.39720153808594,88.77898406982422,90.95272064208984,90.00150299072266,84.52468872070312,85.93001556396484,86.17500305175781,81.4532470703125
JAM,,166.75013732910156,168.85751342773438,169.64199829101562,171.48828125,165.77890014648438,167.50698852539062,169.82005310058594,166.81222534179688,168.92588806152344,169.1840362548828,160.82125854492188,162.50445556640625,163.79673767089844,184.11875915527344,193.14535522460938,188.71548461914062,186.92572021484375,191.83306884765625,266.71923828125
JOR,195.3820037841797,,199.81861877441406,188.04672241210938,201.9287567138672,203.22872924804688,173.26197814941406,169.8329620361328,167.0055389404297,165.02340698242188,161.82115173339844,159.9428253173828,154.86033630371094,154.61021423339844,161.20858764648438,163.144287109375,155.88414001464844,156.72348022460938,146.7671661376953,153.17384338378906
JPN,102.48131561279297,102.81687927246094,102.03546142578125,103.36924743652344,102.88275146484375,101.01456451416016,101.45716857910156,100.92034149169922,100.52307891845703,99.19422912597656,98.87549591064453,97.8901596069336,97.6246337890625,100.01390075683594,104.103515625,102.34349060058594,97.86092376708984,99.26768493652344,97.48649597167969,
KAZ,,,,,,165.15493774414062,170.2256622314453,151.1876220703125,144.10311889648438,137.35726928710938,132.97940063476562,127.10340881347656,122.70613098144531,121.50910186767578,133.75936889648438,133.29212951660156,131.16873168945312,115.39478302001953,135.3284454345703,142.26084899902344
KEN,,,183.22409057617188,185.7062530517578,189.74420166015625,194.426513671875,188.19081115722656,197.1814422607422,180.6781005859375,183.4034881591797,169.69686889648438,172.1195526123047,169.88685607910156,170.04495239257812,173.55975341796875,172.81927490234375,,,166.68942260742188,
KGZ,224.59161376953125,203.78594970703125,,,,222.19729614257812,227.33396911621094,210.63978576660156,212.71307373046875,199.52369689941406,201.09075927734375,187.79664611816406,182.01144409179688,183.82833862304688,193.73480224609375,193.666748046875,186.9298095703125,181.22718811035156,176.62094116210938,
KHM,,,,,,198.98648071289062,200.96597290039062,193.96865844726562,192.22750854492188,187.7062530517578,191.51083374023438,192.2717742919922,188.75466918945312,193.18865966796875,185.10269165039062,173.80935668945312,161.3306884765625,158.01466369628906,148.5426788330078,160.4011993408203
KIR,377.8373107910156,344.0758361816406,367.2659912109375,340.7157897949219,338.1621398925781,,,,,,360.25579833984375,,325.30645751953125,351.2060241699219,341.0548095703125,387.1904296875,397.9406433105469,416.267578125,347.9775085449219,
KNA,246.3946533203125,272.14764404296875,230.783935546875,,241.74325561523438,238.84375,245.10433959960938,225.85809326171875,224.68853759765625,225.7534942626953,232.73272705078125,218.4947052001953,233.06307983398438,226.79537963867188,243.33660888671875,259.1993103027344,254.16339111328125,,,
KOR,106.77892303466797,108.35556030273438,106.65060424804688,108.51438903808594,107.41510009765625,103.41211700439453,105.34154510498047,104.9441909790039,103.20569610595703,100.55891418457031,101.95316314697266,101.59121704101562,101.29178619384766,100.02941131591797,95.87555694580078,94.740234375,89.62234497070312,90.38795471191406,89.93836212158203,110.39856719970703
